Item #,Seller Category,Item Description,Qty,Unit Retail,Ext. Retail,Brand,UPC,TCIN,Origin,Category,Condition,Product Class,Category Code,Division,Department,Optoro Condition,Pallet ID,Subcategory,Lot ID
LPJY547693,BICYCLES-PHYSICAL FITNESS,Gaiam Premium Yoga Mat - Black Midnight Mandala (6mm),1,22.99,22.99,Gaiam,018713639578,88167554,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,B,PTBI20901,YOGA,irc_bicycles_physical_fitness_20260417_253_p
LPHR268037,BICYCLES-PHYSICAL FITNESS,Bell Rally Cycling Kids' Bike Helmet - Blue/Pink Starburst,1,22.99,22.99,Bell,035011978024,91864898,United States of America,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,CHILD HELMETS,irc_bicycles_physical_fitness_20260417_253_p
LPHS544121,BICYCLES-PHYSICAL FITNESS,"Eight Ball Kids' 8+ Pad Set 3pk - Sunset Fade: Elbow, Knee, Wrist Protection (Please be advised that sets may be missing pieces or otherwise incomplete.)",1,21.99,21.99,Eight Ball,604352621335,80514131,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,KIDS ACCESSORIES,irc_bicycles_physical_fitness_20260417_253_p
LPHS700790,BICYCLES-PHYSICAL FITNESS,"Hydro Flask 32oz Wide Mouth Flex Straw Bottle - Oat: Double-Wall, BPA-Free, Leakproof",1,21.99,21.99,Hydro Flask,810096851208,92383254,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHR351280,BICYCLES-PHYSICAL FITNESS,Soft Kettlebell 5lb Cream - All In Motion,1,21.00,21.00,All In Motion,191802002030,94409157,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,B,PTBI20859,STRENGTH TRAINING,irc_bicycles_physical_fitness_20260417_253_p
LPHR041973,BICYCLES-PHYSICAL FITNESS,CAP Barbell Adjustable Vest Body Weight - 20lbs,1,20.99,20.99,CAP,702556020333,85339650,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,B,PTBI20994,HOME GYM,irc_bicycles_physical_fitness_20260417_253_p
LPHR337249,BICYCLES-PHYSICAL FITNESS,"Hydro Flask 32oz All Around Travel Straw Tumbler - White: Double-Wall, BPA-Free, Spillproof",1,20.99,20.99,Hydro Flask,840394217000,92383259,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,TUMBLER,irc_bicycles_physical_fitness_20260417_253_p
LPHR260230,BICYCLES-PHYSICAL FITNESS,"Sliding Core Discs Black/Gray - All In Motion: Total Body Exercise Trainers, PVC Material",2,10.00,20.00,All In Motion,018713638106,77459845,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,HOME GYM,irc_bicycles_physical_fitness_20260417_253_p
LPJY972651,BICYCLES-PHYSICAL FITNESS,"Men's Strength Training Gloves Black L - All In Motion: Neoprene, Weightlifting",2,10.00,20.00,All In Motion,191907562743,80594797,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,STRENGTH TRAINING,irc_bicycles_physical_fitness_20260417_253_p
LPHR122321,BICYCLES-PHYSICAL FITNESS,"Weighted Stability Exercise Ball - Cream 55cm - All In Motion: PVC, 300lb Capacity",1,20.00,20.00,All In Motion,191802001835,90364292,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,STRENGTH TRAINING,irc_bicycles_physical_fitness_20260417_253_p
